createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,reserveUSD,totalSupply,txCount,reserve00,reserve11,token0.decimals,token0.id,token0.name,token0.symbol,token0.totalLiquidity,token0.txCount,token1.decimals,token1.id,token1.name,token1.symbol,token1.totalLiquidity,token1.txCount,token00.decimals,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_Token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull
11543140,2020-12-28,0x1ffdbad4a6f229f4040bc15fbdc0d22ebecf4589,4.6808e-14,2.2e-17,4.4e-17,3.07967e-14,0.0,7,4.6808e-14,2.2e-17,18,0x5c06c0422cb8c99ba903cff8cb412f50732dd020,Fire Protocol,FIRE,4.6808e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0x5c06c0422cb8c99ba903cff8cb412f50732dd020,Fire Protocol,FIRE,4.6808e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,80,180000,1609215882,2020-12-29 13:24:42,1,5,1,0,2888,48119,5,0,48119,burn,1609215882,2020-12-29 13:24:42,81.074532306238661042,2.2E-17,-0.9999999999999999997286447498,13.366388888888888h,True
11754744,2021-01-30,0x57ebcd07538b6790f508133ef39e47a00810a2ff,2.1e-17,4.95e-14,4.2e-17,5.67486e-14,0.0,7,4.95e-14,2.1e-17,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.2252,60733960,18,0xf51e30ca26e098d27fd5341a898f72307a704aa7,t.me/LIVEyourlifetoken,LIVE,4.95e-14,7,18,0xf51e30ca26e098d27fd5341a898f72307a704aa7,t.me/LIVEyourlifetoken,LIVE,4.95e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.2252,60733960,2.5,8000,1611975539,2021-01-30 11:58:59,1,5,1,0,120,357,4,1,357,burn,1611975539,2021-01-30 11:58:59,2.860103666204447215,2.1E-17,-0.9999999999999999926576087964,0.09916666666666667h,True
11238105,2020-11-11,0x69f01bd33235a47aae59c3c742de5a3ceece7e2e,4.2e-17,2.3863e-14,4.2e-17,2.55001e-14,0.0,7,2.3863e-14,4.2e-17,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0xf0d2a55c74cd01a3e4fe6becb374c0ea77ecbdbf,The Villa of the Digital Art Collector,VDAC,2.3863e-14,7,18,0xf0d2a55c74cd01a3e4fe6becb374c0ea77ecbdbf,The Villa of the Digital Art Collector,VDAC,2.3863e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,0.786679527352947914,470,1606242054,2020-11-25 03:20:54,1,5,1,0,384495,704384,3,2,1120676,burn,1605825762,2020-11-20 07:42:42,0.787938173203026784,4.1E-17,-0.9999999999999999479654604963,195.66222222222223h,True
11391881,2020-12-05,0x1237a0ec9f105b369cc91a768f7b3a3d3d892bb7,2.3936e-14,4.2e-17,4.2e-17,3.0941e-14,0.0,7,2.3936e-14,4.2e-17,18,0x40c190fd64888e55a4206ee10f9d39d744237fe7,SPICE,SPICE,2.3936e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0x40c190fd64888e55a4206ee10f9d39d744237fe7,SPICE,SPICE,2.3936e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,1.5,900,1609574956,2021-01-02 17:09:16,1,5,1,0,504654,2413747,3,2,2413747,burn,1609574956,2021-01-02 17:09:16,1.536886549741481535,4.2E-17,-0.9999999999999999726720231841,670.4852777777778h,True
10983507,2020-10-03,0xd0906e1fc598d974c614b36a3f786ac6cbb911e1,4.845e-14,2.1e-17,4.2e-17,1.45018e-14,0.0,7,4.845e-14,2.1e-17,18,0x41e09a37de852dd90709d5e561a5d55fc1e2adc9,PIE Dough DAO Y3,PDOU,4.845e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,18,0x41e09a37de852dd90709d5e561a5d55fc1e2adc9,PIE Dough DAO Y3,PDOU,4.845e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,8,20000,1601738770,2020-10-04 00:26:10,1,5,1,0,377,3011,4,1,3011,burn,1601738770,2020-10-04 00:26:10,8.262485070425259201,2.1E-17,-0.9999999999999999974583917767,0.8363888888888888h,True
11181442,2020-11-03,0x2060afb61e9bd728ff927c5d7802e887138c9e00,4.8033e-14,2.1e-17,4.2e-17,1.56515e-14,0.0,7,4.8033e-14,2.1e-17,18,0x22810a350df46f00b40fdfe7a91ec3deac3b57cf,Fork.Finance,FORK,4.8033e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,18,0x22810a350df46f00b40fdfe7a91ec3deac3b57cf,Fork.Finance,FORK,4.8033e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,5,12000,1604376059,2020-11-03 13:00:59,1,5,1,0,404,6387,3,2,6387,burn,1604376059,2020-11-03 13:00:59,5.100428489530269455,2.1E-17,-0.9999999999999999958826988668,1.7741666666666667h,True
12038016,2021-03-14,0x67974bcffcb429a242fb07c1b0df39b07bf60d50,4.874e-14,2.1e-17,4.2e-17,7.84048e-14,0.0,7,4.874e-14,2.1e-17,18,0x283cd6c17a3f428a2fbaf907408f6c9e4e4c54e1,Blockchain Cuties Universe,BCUG,4.874e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,18,0x283cd6c17a3f428a2fbaf907408f6c9e4e4c54e1,Blockchain Cuties Universe,BCUG,4.874e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,0.2,480,1615783363,2021-03-15 13:42:43,3,3,1,877,4927,40702,2,1,40702,burn,1615783363,2021-03-15 13:42:43,4.323674479437564055,2.1E-17,-0.9999999999999999951430201094,11.306111111111111h,True
11073454,2020-10-17,0x72e63fe31232983cff2440d5eb73c43708aec5e8,2e-17,5.1465e-14,4e-17,1.46889e-14,0.0,7,5.1465e-14,2e-17,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,18,0xd15cde20e0f212d48e8f124d544d155c90e6540f,KingSwap,KING,5.1465e-14,7,18,0xd15cde20e0f212d48e8f124d544d155c90e6540f,KingSwap,KING,5.1465e-14,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,90,300000,1602951344,2020-10-18 01:15:44,1,5,1,0,1272,13688,5,0,13688,burn,1602951344,2020-10-18 01:15:44,101.0,2E-17,-0.9999999999999999998019801980,3.8022222222222224h,True
12563153,2021-06-03,0xb63af2925a0dce00cee0606814ec57f57a2f0d39,5.2042e-05,2e-17,4e-17,1.11964e-13,0.0,7,5.2042e-05,2e-17,9,0x79d45d43ebaa7bc1aa3bd4277c679a433eceafcc,Akiranu Finance,AKI,5.2042e-05,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,9,0x79d45d43ebaa7bc1aa3bd4277c679a433eceafcc,Akiranu Finance,AKI,5.2042e-05,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,15,40000000000000,1622746048,2021-06-04 03:47:28,1,5,1,0,139,897,2,3,897,burn,1622746048,2021-06-04 03:47:28,15.006566347207606126,2.0E-17,-0.9999999999999999986672500866,0.24916666666666668h,True
13563457,2021-11-06,0x932b8cd1cab836e94587cd98297e732364af5ecf,2.6391e-05,3.9e-17,3.9e-17,1.7884e-13,0.0,7,2.6391e-05,3.9e-17,9,0x27abe18fc6e4f8b448cfcf0373f4ca66eceb0e8c,Kimchi Inu,KIMCHI INU,2.6391e-05,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,9,0x27abe18fc6e4f8b448cfcf0373f4ca66eceb0e8c,Kimchi Inu,KIMCHI INU,2.6391e-05,7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,1,1000000000000,1636284392,2021-11-07 20:26:32,1,5,1,0,1672,75853,3,2,75853,burn,1636284392,2021-11-07 20:26:32,1.214546584248796197,3.9E-17,-0.9999999999999999678892514245,21.07027777777778h,True
