createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.decimals,token00.txCount,token00_creator_address,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,mint_ratio,swap_ratio,burn_ratio,swap_rate,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,initial_supply,receiver_list,current_token_total_supply
12916034,2021-07-28,0xa08cc6ad46c120fa20be847476b5cea65129a2ff,30770.14232,3.943238332,7.886476665,0x2d2d95414e06100fa40cbf86eca56452c51f2b79,Good Morning,GM,30770.14232,18,355,0xcb2192447fe9c2bdbea36a867f986c92d3561b66,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,5.0,76085.0,1632032888,2021-09-19 6:28,5,348,2,472255,117351,643464,201,147,4534577,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1632032888,0.014124294,0.980225989,0.005649718,1.367346939,283.3523502,0xcb2192447fe9c2bdbea36a867f986c92d3561b66,50.0,32.44238462,80085.0,0xcb2192447fe9c2bdbea36a867f986c92d3561b66,
11117383,2020-10-24,0x332ff520926b0864738463fcf111498002ad6465,500057263.3,0.00603962,0.012079241,0x28d841775a13104d7e5d8d055639b01e4c474feb,ONEVAULT.FINANCE,OVT,500057263.3,18,149,0xcb21437f1da64beb174516951effd75dbd504aaf,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545292.2038,60734008,30.0,100000.0,1603698518,2020-10-26 7:48,1,148,0,0,8574,0,96,52,178634,swap,1603698518,2020-10-26 7:48,52.58333008,0.00603962,-0.999885142,49.620555555555555h,True,1603698518,0.006756757,0.993243243,0.0,1.846153846,1732.050808,0xcb21437f1da64beb174516951effd75dbd504aaf,100.0,0.0,100000.0,0xcb21437f1da64beb174516951effd75dbd504aaf,100000.0
11382980,2020-12-04,0x40b59199d20dca4626ffb192d27211e0b4839e81,483704.7368,2.08e-06,2.08e-06,0x70cf65f97e143a4ac9a95c4e65aead12cc9722d1,conflux.finance,CFX,483704.7368,18,78,0xcb1b77842a9c6e510605734ecd730efc7a0d0960,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,41800.0,1607062728,2020-12-04 6:18,1,76,1,0,4200,19889,57,19,19922,burn,1607062695,2020-12-04 6:18,150.5510095,0.073636906,-0.999510884,5.5247222222222225h,True,1607062695,0.013157895,0.986842105,0.0,3.0,2044.50483,0xcb1b77842a9c6e510605734ecd730efc7a0d0960,100.0,0.0,500000.0,0xcb1b77842a9c6e510605734ecd730efc7a0d0960,500000.0
12454175,2021-05-17,0x6bda006953fa9c4ce4176eee86d1bc27727dbf89,9.94e-09,1e-18,2e-18,0x09cad6752aab770485ca9f8c67a462b705e6555b,$YUMMY COIN,YUMMY,9.94e-09,18,6,0xcb1724d82c0c377eae1f2b01e3e53626296e9063,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,5.0,500000000000000.0,1621288474,2021-05-18 6:54,1,4,1,0,754,4054,2,2,4054,burn,1621288474,2021-05-18 6:54,5.033248609,1e-18,-1.0,1.126111111111111h,True,1621288474,0.2,0.8,0.0,0.666666667,50000000.0,0xcb1724d82c0c377eae1f2b01e3e53626296e9063,100.0,0.0,1000000000000000.0,0xcb1724d82c0c377eae1f2b01e3e53626296e9063,7768.0
12452649,2021-05-17,0x09b41bf99b45cb7fa68f243323be15cdfa03c29d,4249402923.0,0.00220604,0.00220604,0xba44ff181407264cdf38330985ea8eefcd788004,Mememagick,MGCK,4249402923.0,18,34,0xcb104bd5e641f2a15cadead6fa1de752a291889c,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,0.5,500000000000.0,1624412533,2021-06-23 1:42,7,26,1,66341,1480853,327,3,23,3148090,burn,1621264770,2021-05-17 15:19,1.208916606,1e-18,-1.0,0.09083333333333334h,True,1621264770,0.2,0.8,0.0,1.5,500000.0,0xcb104bd5e641f2a15cadead6fa1de752a291889c,100.0,0.0,1000000000000.0,0xcb104bd5e641f2a15cadead6fa1de752a291889c,
12312537,2021-04-25,0x0edf3ec38d543616c313feaa84e32740e3c53218,1e-18,0.003980586,2e-18,0xeaaf2e2e8801aad94ccecc144d3abad34948260c,ELONGRIMESXAEA-XII,XAEAXII,0.003980586,9,6,0xcb0f827c03e1226d4c95cdee195f97132a040d5c,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,3.8,1e+17,1619394839,2021-04-26 8:53,1,4,1,0,196,272,4,0,272,burn,1619394839,2021-04-26 8:53,5.001,1e-18,-1.0,0.07555555555555556h,True,1619394839,0.25,0.75,0.0,3.0,19493.58869,0xcb0f827c03e1226d4c95cdee195f97132a040d5c,100.0,0.0,1e+17,0xcb0f827c03e1226d4c95cdee195f97132a040d5c,
11195322,2020-11-05,0x175ddeb8bcc2db0d8dc2aa48766c56e4c30e9b49,1.91e-14,5.3e-17,1.06e-16,0xbeb82ab7861b78c0fa62b3f5faa8212b861efeff,Foda.Finance,FODA,1.91e-14,18,23,0xcb0b736db15f87a9cb45802259069db7f9871786,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,25.0,20000.0,1604555756,2020-11-05 5:55,1,21,1,0,471,1327,16,5,1327,burn,1604555756,2020-11-05 5:55,37.1195917,5.3e-17,-1.0,0.3686111111111111h,True,1604555756,0.045454545,0.954545455,0.0,2.666666667,707.1067812,0xcb0b736db15f87a9cb45802259069db7f9871786,100.0,0.0,100000.0,0xcb0b736db15f87a9cb45802259069db7f9871786,
12604189,2021-06-10,0xa91ac5e69063af0d904241fcb479d50950dc19ba,7.26e-09,1e-18,2e-18,0x1a6246da6c7a11f5ac9e7de43f2f0ffa04fcbefa,Yakura Inu Finance,🔪 YAKURA 🔪,7.26e-09,18,10,0xcb0a5bf96ce5974dd33ad74c51ef2dc49158e68a,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,6.0,600000000000000.0,1623297447,2021-06-10 12:57,1,8,1,0,673,3489,8,0,3489,burn,1623297447,2021-06-10 12:57,8.277081695,1e-18,-1.0,0.9691666666666666h,True,1623297447,0.111111111,0.888888889,0.0,8.0,60000000.0,0xcb0a5bf96ce5974dd33ad74c51ef2dc49158e68a,100.0,0.0,1000000000000000.0,0xcb0a5bf96ce5974dd33ad74c51ef2dc49158e68a,
12517266,2021-05-27,0x88913f058ee33f3912ccfea1f9a1bc0bcc7da101,8.58e-05,1.2e-17,2.4e-17,0x7979cf8b82d07b4c564b3d8b8a62fdddbcfed7ee,Sachalin Husky,SUKY,8.58e-05,9,11,0xcb0449f4ce01269d7d0dbbffbe9be1ac0084beab,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,6.0,50000000000000.0,1622133302,2021-05-28 1:35,1,9,1,0,629,2482,6,3,2482,burn,1622133302,2021-05-28 1:35,6.391706945,1.2e-17,-1.0,0.6894444444444444h,True,1622133302,0.1,0.9,0.0,1.5,547.7225575,0xcb0449f4ce01269d7d0dbbffbe9be1ac0084beab,100.0,0.0,100000000000000.0,0xcb0449f4ce01269d7d0dbbffbe9be1ac0084beab,
12272557,2021-04-19,0x92b31f300d4711b556b72f4c3c0891b52b389a2d,26500000000000.0,1.776614793,3.553229587,0xa4fcbb02f23d6068a7a403c976aec768050984e3,roge.finance,ROGE,26500000000000.0,18,677,0xcb0433dab01eec62b1ccdba5ae8d66ab773558b2,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,1.0,40800000000000.0,1631595638,2021-09-14 5:00,2,673,2,1695,424042,556210,397,276,12732937,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1631595638,0.00295858,0.99408284,0.00295858,1.438405797,6384032.686,0xcb0433dab01eec62b1ccdba5ae8d66ab773558b2,100.0,0.0,100000000000000.0,0xcb0433dab01eec62b1ccdba5ae8d66ab773558b2,
