createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.decimals,token00.txCount,token00_creator_address,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,mint_ratio,swap_ratio,burn_ratio,swap_rate,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,initial_supply,receiver_list,current_token_total_supply
13533449,2021-11-01,0xce728bb2f9362cbf568b7150f1d821752c45b2fc,0.005433063,1e-18,2e-18,0x124e124e10567dcdb6c57b7457e0290ef445f82a,Coju Inu,CUJOINU,0.005433063,9,155,0x237a66e4d42ed8b824f58a9bbdf52afec9ab8a1d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,5.0,9.9e+17,1635881093,2021-11-02 19:24,1,153,1,0,5994,80606,89,64,80606,burn,1635881093,2021-11-02 19:24,13.2910375,1e-18,-1.0,22.390555555555554h,True,1635881093,0.006493506,0.993506494,0.0,1.369230769,70352.64707,0x237a66e4d42ed8b824f58a9bbdf52afec9ab8a1d,100.0,0.0,1e+18,0x237a66e4d42ed8b824f58a9bbdf52afec9ab8a1d,
11571319,2021-01-01,0x45e3314a88bdef0c396aaf04fdcaa9a34b65dcf7,8.99e-13,2e-09,1.8e-12,0xcd647b24815659d03a1d747d1308f2f72203fb5d,PotionSwap,rPOT,2e-09,9,166,0xad47b6cabdf0f42e6dbc2433cbde5075272b7ff5,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,3.0,8000.0,1609544822,2021-01-01 23:47,1,164,1,0,924,2271,97,67,2271,burn,1609544822,2021-01-01 23:47,4.403964153,8.99e-13,-1.0,0.6308333333333334h,True,1609544822,0.006060606,0.993939394,0.0,1.426470588,0.004898979,0x23790b4f4e8a4a0fa7648fb75559a115e0ba51d4,100.0,0.0,32000.0,0x23790b4f4e8a4a0fa7648fb75559a115e0ba51d4,
12458900,2021-05-18,0x93b1d876bb26f92f3c795e1e5d410c005f8561ef,1e-18,1.56e-12,2e-18,0xf1b4472075d5544d49217054b1ba4d99efed7096,DOGESTYLE,$DOGES,1.56e-12,18,78,0x237753d5a027a7e6872c30bd7dfb34354942b937,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,28.0,100000000.0,1621350061,2021-05-18 15:01,1,76,1,0,790,2391,43,33,2391,burn,1621350061,2021-05-18 15:01,33.9726889,1e-18,-1.0,0.6641666666666667h,True,1621350061,0.013513514,0.986486486,0.0,1.387096774,52915.02622,0x237753d5a027a7e6872c30bd7dfb34354942b937,100.0,0.0,100000000.0,0x237753d5a027a7e6872c30bd7dfb34354942b937,
11018894,2020-10-09,0x63225234e40e332898e1c22f3c693668e85c24d6,1.41e-14,7.1e-17,1.42e-16,0x6bcc20bf76b0f50724d475ae6a6914f5b2fdceee,DARK,DARK,1.41e-14,18,73,0x2376213a11872841980d03bae6e929cbe8ea77c7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,100.0,60000.0,1602256936,2020-10-09 15:22,1,71,1,0,7131,42238,65,6,42238,burn,1602256936,2020-10-09 15:22,173.5570723,7.1e-17,-1.0,11.732777777777779h,True,1602256936,0.013888889,0.986111111,0.0,9.285714286,2449.489743,0x2376213a11872841980d03bae6e929cbe8ea77c7,100.0,0.0,100000.0,0x2376213a11872841980d03bae6e929cbe8ea77c7,100000.0
11026586,2020-10-10,0x6952957a07a16da0ceb078b19a3f0bb70323ca07,3.66e-15,2.74e-16,5.48e-16,0x114f792d53aaaa05a4f17d9414033d0c1f0f8137,heavensgate.finance,HATE,3.66e-15,18,31,0x2376213a11872841980d03bae6e929cbe8ea77c7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,90.0,1800.0,1602371330,2020-10-10 23:08,1,29,1,0,8539,53638,25,4,53638,burn,1602371330,2020-10-10 23:08,110.1299902,2.74e-16,-1.0,14.899444444444445h,True,1602371330,0.033333333,0.966666667,0.0,5.0,402.4922359,0x2376213a11872841980d03bae6e929cbe8ea77c7,100.0,0.0,2000.0,0x2376213a11872841980d03bae6e929cbe8ea77c7,2000.0
11024130,2020-10-09,0x5a3a0b518d8aca5857fa56cb899bd558c9377839,2.28e-15,4.41e-16,8.82e-16,0x8a04ce6461749a6bc57cd4468f1e6dc5e60afdca,SHAKA,SHAKA,2.28e-15,18,30,0x2376213a11872841980d03bae6e929cbe8ea77c7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,80.0,800.0,1602317419,2020-10-10 8:10,1,28,1,0,3383,32170,27,1,32170,burn,1602317419,2020-10-10 8:10,111.3384983,4.41e-16,-1.0,8.936111111111112h,True,1602317419,0.034482759,0.965517241,0.0,13.5,252.9822128,0x2376213a11872841980d03bae6e929cbe8ea77c7,100.0,0.0,1000.0,0x2376213a11872841980d03bae6e929cbe8ea77c7,1000.0
11022114,2020-10-09,0xcb3c820879762980ec37d7d462a59562c5fcf521,2.11e-16,4.76e-15,4.22e-16,0xe437e686306a08cb9f1570165d29001783e57cf4,Vulpix Token,VPX,4.76e-15,18,7,0x2376213a11872841980d03bae6e929cbe8ea77c7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,150.0,4500.0,1602285041,2020-10-10 8:10,1,5,1,0,841,27079,5,0,27079,burn,1602285041,2020-10-10 8:10,172.77,2.11e-16,-1.0,7.521944444444444h,True,1602285041,0.166666667,0.833333333,0.0,5.0,821.5838363,0x2376213a11872841980d03bae6e929cbe8ea77c7,100.0,0.0,5000.0,0x2376213a11872841980d03bae6e929cbe8ea77c7,5000.0
11024938,2020-10-10,0x712a9c24d9122ffc8c6201b5709c3bcdeb4fda19,2.07e-14,4.9e-17,9.8e-17,0x863417d06a649acba2a57663e769f07ef3a5f545,Non-Fungible Yearn,NFY,2.07e-14,18,6,0x2376213a11872841980d03bae6e929cbe8ea77c7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,70.0,40000.0,1602298771,2020-10-10 11:59,1,4,1,0,429,2539,4,0,2539,burn,1602298771,2020-10-10 11:59,80.86308923,4.9e-17,-1.0,0.7052777777777778h,True,1602298771,0.2,0.8,0.0,4.0,1673.320053,0x2376213a11872841980d03bae6e929cbe8ea77c7,100.0,0.0,100000.0,0x2376213a11872841980d03bae6e929cbe8ea77c7,
13529364,2021-11-01,0xa369d0834af8d0a69e72c2cfba5ff1ec6847b92a,1.2e-08,8.39e-14,1.68e-13,0x6b60b98919fa4c109ed8f97800e7d6869ff35c76,TrueTouch,TTCH,1.2e-08,9,47,0x2371944a89c82d36a5dd1c30fb516aeb0a22fd48,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,9.3,2255639.098,1635745901,2021-11-01 5:51,1,45,1,0,601,1472,33,12,1472,burn,1635745901,2021-11-01 5:51,12.15783564,8.39e-14,-1.0,0.4088888888888889h,True,1635745901,0.023255814,0.976744186,0.0,3.3,0.14483592,0x2371944a89c82d36a5dd1c30fb516aeb0a22fd48,100.0,0.0,10000000.0,0x2371944a89c82d36a5dd1c30fb516aeb0a22fd48,
12900908,2021-07-26,0x1251582c87fb0c62a64dce9221f68814bef88c67,1e-18,3.77e-10,2e-18,0xd60e994ae2d696b2610a2ece24140d0982bd6940,MissDoge INU,MissDoge,3.77e-10,18,37,0x236d76afde5db11b4efed1f63761d767818de25d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,25.0,7000000000000.0,1627295960,2021-07-26 10:39,1,35,1,0,1067,6193,30,5,6193,burn,1627295960,2021-07-26 10:39,35.1501219,1e-18,-1.0,1.7202777777777778h,True,1627295960,0.027777778,0.972222222,0.0,5.0,13228756.56,0x236d76afde5db11b4efed1f63761d767818de25d,100.0,0.0,10000000000000.0,0x236d76afde5db11b4efed1f63761d767818de25d,1000000000000.0
