createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,`,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,initial_supply,receiver_list
11093466,2020-10-20,0x70ef9c2163a904842b1307d48b395fdbd15b0bba,7.36e-14,1.4000000000000006e-17,2.8000000000000005e-17,0x5adf4c05cb0018cb3da76a0a45b95a9f63547da1,4channel,4CH,7.36e-14,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,600000.0,1603278689,2020-10-21 20:11,1,9,1,0,541,75744,8,1,75744,burn,1603278689,2020-10-21 20:11,105.3056168,1.4000000000000006e-17,-1.0,21.04h,True,1603278689,1000000.0,[{'address': '0x29cfd8199618380227f43961ebb9f865966063dc'}]
11209672,2020-11-07,0x835ee585a4e7ecc86bdde269c46660516d1da25b,2.98e-14,3.4000000000000004e-17,6.800000000000001e-17,0x3afa404f674a72b92547225608ba0f8abb47fd69,CatToken,CAT,2.98e-14,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,100000.0,1604799342,2020-11-08 10:35,1,9,1,0,1047,55947,9,0,55947,burn,1604799342,2020-11-08 10:35,106.0355841,3.4000000000000004e-17,-1.0,15.540833333333333h,True,1604799342,199999.99999999997,[{'address': '0x84be64eb8745e0c547c14ca2dd071985fe6e74e3'}]
11119239,2020-10-24,0xb5e40d26f14dff9cee10fed5f5ba8f8425c904ce,8.25e-15,1.2199999999999999e-16,2.4399999999999997e-16,0x13b98b276f905b154e9ff7e64533af0dfbce0f9c,huna.finance,HUNA,8.25e-15,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545292.2038,60734008,100.0,7500.0,1603599542,2020-10-25 13:19,1,9,1,0,17066,54361,8,1,54361,burn,1603599542,2020-10-25 13:19,105.1057559,1.2199999999999999e-16,-1.0,15.100277777777778h,True,1603599542,10000.0,[{'address': '0x49061518213a5beee6bb831775d34a5866f4b1a0'}]
11242800,2020-11-12,0xf5560a6444e82b38d4d5835da436d8ccf9963c2c,6.900000000000001e-14,1.5e-17,3e-17,0xb8268a2746b885e9a4b2e3a39aed49fe1dfb5dc2,Open Coin,OPEN,6.900000000000001e-14,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,800000.0,1605228933,2020-11-13 9:55,1,9,1,0,6797,44877,9,0,44877,burn,1605228933,2020-11-13 9:55,129.8,1.5e-17,-1.0,12.465833333333334h,True,1605228933,799999.9999999999,[{'address': '0x971ffbf8a6bcee1e00d00480a21b44b17cfcec54'}]
11032250,2020-10-11,0xf2fa8db1b1f6a6072ca2e44a9b10ca905fb0c8fa,5.93e-15,1.6899999999999999e-16,3.3799999999999997e-16,0x5de2e38f0df05e1837266c21b9bb510609ff9b5c,COREI,COREI,5.93e-15,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,100.0,4500.0,1602424599,2020-10-11 22:56,1,9,1,0,2912,31158,9,0,31158,burn,1602424599,2020-10-11 22:56,113.2331071,1.6899999999999999e-16,-1.0,8.655h,True,1602424599,5000.0,[{'address': '0x199654b9aabb06821a5390491ad525b9f8096e0c'}]
11166223,2020-10-31,0x76a98aabf2ccd0e38f85cc12f36bc615af6f6ad7,6.69e-13,2e-18,4e-18,0x53c97ea063785161f5bc0b38a32fec100d7c3d4b,Stacy,STACY,6.69e-13,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,50000000.0,1604188991,2020-11-01 9:03,1,9,1,0,3190,21188,9,0,21188,burn,1604188991,2020-11-01 9:03,105.6985111,2e-18,-1.0,5.885555555555555h,True,1604188991,100000000.0,[{'address': '0xff54a7230c04a203ccb2d7e9474e3c58c921b809'}]
11180375,2020-11-02,0xb00f7317aabce94cf21aca07c678637abd7f8ffb,1.19e-14,8.5e-17,1.7e-16,0x95aa413d99e4741f0129c95b1edb770b209dc915,xpswap.org,XPSP,1.19e-14,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,15000.0,1604370239,2020-11-03 11:23,1,9,1,0,1018,14050,8,1,14050,burn,1604370239,2020-11-03 11:23,103.0103142,8.5e-17,-1.0,3.9027777777777777h,True,1604370239,40000.0,[{'address': '0x594331ed94114785a14585c5865ac0e0587108dc'}]
11098700,2020-10-21,0xa6526858dbcd7d4f2c2a657d9fc182fa30b9f463,3.06e-14,3.3e-17,6.6e-17,0x089a1c31ffca044c71d8b1c54801b8aa4736a669,gambling defi,GMBL,3.06e-14,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,100000.0,1603280829,2020-10-21 20:47,1,9,1,0,1277,8176,8,1,8176,burn,1603280829,2020-10-21 20:47,103.4763157,3.3e-17,-1.0,2.2711111111111113h,True,1603280829,160000.0,[{'address': '0x71a3f96e8e8bf0fccaab09c5f83bd5b2612f46a6'}]
10996719,2020-10-05,0xa1536ab1cc1b6e828cf08fc9747938c2d419d07c,1.65e-14,6.099999999999999e-17,1.2199999999999999e-16,0x7d5f6956cbcfbea6e92f8a37cf6d7a206cfffcfd,ymax.finance,YMAX,1.65e-14,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,100.0,29999.0,1601917905,2020-10-06 2:11,1,9,1,0,1586,3837,9,0,3837,burn,1601917905,2020-10-06 2:11,105.0390279,6.099999999999999e-17,-1.0,1.0658333333333334h,True,1601917905,32000.0,[{'address': '0xa7f32ddff078f512b6fb56fed44b6452f14a69e8'}]
11171179,2020-11-01,0xf1e14734325f13cecb3ad19cb1018f3d07be4755,1.13e-14,8.9e-17,2.26e-14,0xed96e3cb6158cf0921195410ef569bd2f006d581,1COIN,1COIN,8.9e-17,11,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,1.0,1604235352,2020-11-01 21:55,1,9,1,0,496,1760,9,0,1760,burn,1604235352,2020-11-01 21:55,113.0129806,1.13e-14,-1.0,0.4888888888888889h,True,1604235352,1.0,[{'address': '0x6e6d61cdc74c9d1ce12c1d89d92ec8937e16709f'}]
