createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.txCount,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,`,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,initial_supply,receiver_list
11343356,2020-11-27,0x7667c1792d88dfc14103a99e2b39609cba15d1a0,17777.202240000002,0.000904151,0.000904151,0x73b65a6c79556724f13679c2f569dd00a5dd85da,hypechill.fund,CHILL,17777.202240000002,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,20800.0,1606613315,2020-11-29 1:28,1,60,1,0,5891,95009,44,16,95046,burn,1606613278,2020-11-29 1:27,136.9474768,0.379823961,-0.997226499,26.39138888888889h,True,1606613278,25799.999999999996,[{'address': '0x438a28136e62a3ceb44a36fe18b76b69957755b9'}]
11189258,2020-11-04,0x9e4d97925a9d0eb61c2184625b5494a0cae2ed4a,7.000000000000001e-18,1.56e-13,1.4000000000000006e-17,0xf6de69ce2803b5adb762986ed3dcf39e5dbfddb2,CAP25,CAP25,1.56e-13,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,6000000.0,1604530188,2020-11-04 22:49,1,60,1,0,4017,56249,54,6,56249,burn,1604530188,2020-11-04 22:49,157.4157474,7.000000000000001e-18,-1.0,15.624722222222223h,True,1604530188,60534387.0,[{'address': '0x746df83bb37a1f6c51a5c930228aaa8f1f2aa05a'}]
12139666,2021-03-30,0xaaba395fa78145207bd4ce657c2100ca77818964,4.12e-14,2.5e-17,5e-17,0x965e03d33bea4a32b3fa1555cb2b686e7df710e7,rage.fan,RAGE,4.12e-14,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,100.0,2000000.0,1617144446,2021-03-30 22:47,1,60,1,0,12374,50143,44,16,50143,burn,1617144446,2021-03-30 22:47,344.5961575,2.5e-17,-1.0,13.928611111111111h,True,1617144446,4000000.0,[{'address': '0x8d078ff4348cbad31456f8c3636393fbd997e046'}]
11397467,2020-12-06,0x47bbc7cc099d23db05df421fc162841f81b747d7,4.7100000000000004e-15,2.1299999999999999e-16,4.2599999999999997e-16,0x2ad42c73ebadb48b4e57ed0f71d7d0c76c406635,GainSwap,$GAIN,4.7100000000000004e-15,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,100.0,10000.0,1607280558,2020-12-06 18:49,1,60,1,0,2276,45089,47,13,45089,burn,1607280558,2020-12-06 18:49,212.8984318,2.1299999999999999e-16,-1.0,12.524722222222222h,True,1607280558,30000.0,[{'address': '0x22bb93641ed24546b132dc8b4e9b8a7be0f82aae'}]
11490833,2020-12-20,0xb3b9a186893d0e0232987b18b02ce919bbbd08ea,1.1e-17,9.22e-14,2.2e-17,0xf597fa7d661e6f3b49c71e78188508ec14faeebd,yfsx.money,YFSX,9.22e-14,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,195.0,3459375.0,1608483131,2020-12-20 16:52,1,60,1,0,1776,7362,45,15,7362,burn,1608483131,2020-12-20 16:52,282.7074075000001,1.1e-17,-1.0,2.045h,True,1608483131,9000000.0,[{'address': '0x4a6ebcdf097204790d88ba0ad777d44222efd1d9'}]
11299137,2020-11-21,0x8640b0883747cb8ccc610152edcc0af0a8acd10f,5.38e-15,1.87e-16,3.74e-16,0x9ff4751ab9905debd29210370ed725038e708001,YFIONE.Finance,YFO,5.38e-15,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,200.0,8000.0,1606003631,2020-11-22 0:07,1,60,1,0,6285,72629,47,13,72629,burn,1606003631,2020-11-22 0:07,235.2908438,1.87e-16,-1.0,20.174722222222222h,True,1606003631,20000.0,[{'address': '0xf17dba52b0af86b13b71bf344fbe4c7e19f12170'}]
11367146,2020-12-01,0xee9dcdb14e41217ec5999ebdb1f4ce7f604a0218,4.279999999999999e-15,2.35e-16,4.7e-16,0xa2fffdc6efb2b76109519f23d84d3f6122e1d639,solv3.network,SLV3,4.279999999999999e-15,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,200.0,6000.0,1606881170,2020-12-02 3:52,1,60,1,0,7675,49116,45,15,49116,burn,1606881170,2020-12-02 3:52,256.4145143,2.35e-16,-1.0,13.643333333333333h,True,1606881170,10000.0,[{'address': '0x22bb93641ed24546b132dc8b4e9b8a7be0f82aae'}]
12714642,2021-06-27,0xccecf6319409a8b98821d1fd2469ed84db568aae,1e-18,1.15e-09,2e-18,0xfdf36b68b510cc9e49f4f413624f23bd087e5a23,Shiba Inu Bone,BONE🦴,1.15e-09,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,220.0,500000000000000.0,1624860504,2021-06-28 6:08,1,60,1,0,9382,83418,60,0,83418,burn,1624860504,2021-06-28 6:08,289.4083501,1e-18,-1.0,23.171666666666667h,True,1624860504,1000000000000000.0,[{'address': '0x57c9eb8ed90660570e66596140901c37847c9fe9'}]
11429636,2020-12-11,0x5b376003037e5930b2048ae4918c943e5dcfedca,1.3e-13,8e-18,1.6e-17,0xa06c453730e6a838d6bbcbc34be53529c1819a12,BetFi,BFI,1.3e-13,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,260.0,6500000.0,1607762986,2020-12-12 8:49,1,60,1,0,4379,100074,43,17,100074,burn,1607762986,2020-12-12 8:49,316.7018199,8e-18,-1.0,27.798333333333332h,True,1607762986,100000000.0,[{'address': '0x5ed4bf8f9c2dfa08f35dd113844b10c1657d4486'}]
11418685,2020-12-09,0xa7a46e64f0804d49da9d1c247dba8ed446193c40,7.1e-17,1.41e-14,1.42e-16,0xcceabbbfb5f04d484b946f623f4b3607f095216f,Deriswap,DERISWAP,1.41e-14,62,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545289.5436,60733965,260.0,78000.0,1607575840,2020-12-10 4:50,1,60,1,0,5090,58592,46,14,58592,burn,1607575840,2020-12-10 4:50,319.1267322,7.1e-17,-1.0,16.275555555555556h,True,1607575840,199999.99999999997,[{'address': '0x82baf942693ea6901489fac9b15993dfc6f470b4'}]
