createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.decimals,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_our,is_rugpull,feature_timestamp,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,active_period,LP_Creator_amount,LP_avg,LP_stdev,total_LP_amount
2020-05-20,0x1b8409c18b56fe081f0184535b0449289bdabcac,Chronobank TIME,TIME,Wrapped Ether,WETH,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53,Chronobank TIME,TIME,8,369,0x28a44f49b940b3875f882d08487d16295fb8bc09,346,220.0,1e-08,3.0,1e-06,1611831159,2021-01-28 10:52,burn,1590058783,2020-05-21 10:59,32.60166001,1.03e-11,-1.0,28.78583333,True,1590058783,2,5,0,0.2857142857142857,0.7142857142857143,0.0,0.25166643521733095,0.7872170531870574,0.0,0,5,0.0,28804,0.003178121029990132,100.0,0.0,0.003178121029990132
2020-05-20,0xa6152b15d93b2d2fd63cc0b2f956ecac0348dcf5,EWO Token,EWO,Wrapped Ether,WETH,0x444997b7e7fc830e20089afea3078cd518fcf2a2,EWO Token,EWO,18,38,0x110a182b07c8ff1b4421ffcc05eccf5fd1648844,38,80.0,9.4e-14,0.4,0.000784,1629456257,2021-08-20 10:44,burn,1590104856,2020-05-21 23:47,0.41044359,7.3e-17,-1.0,38.19888889,True,1590104856,1,4,0,0.2,0.8,0.0,0.0,0.37362572232923397,0.0,3,1,1.5,33745,5.656854249492379195,100.0,0.0,5.656854249492379195
2020-05-19,0x85fcfd19cb866fa42387b5896711bf655d8c90a2,Wrapped Ether,WETH,Tolar Token,TOL,0xd07d9fe2d2cc067015e2b4917d24933804f42cfa,Tolar Token,TOL,18,29,0x1f2d70b965e56fa30e32a797bef5200884112f34,29,203764.3532,1.849818017,3.25,1.08e-14,1627788813,2021-08-01 3:33,burn,1590190264,2020-05-22 23:31,3.364593277,5e-18,-1.0,79.99805556,True,1590190264,1,4,0,0.2,0.8,0.0,0.0,0.3270874653490611,0.0,3,1,1.5,172434,813.777701864678698109,100.0,0.0,813.777701864678698109
2020-05-23,0xc33d8c49e2e0a8d9ed151ccdde9087ab0f578a0d,Buccaneer,PRIVATE,Wrapped Ether,WETH,0x17540494ad5e39aefd49901774528e9ff17fe40b,Buccaneer,PRIVATE,3,354,0xadf6cfc7ce715e7ebd03f24f9bba941cfd9d3104,354,4444.0,0.001,0.0777,4.17e-09,1618031398,2021-04-10 5:09,burn,1590268630,2020-05-23 21:17,0.37693777,2.5e-10,-0.999999999,13.45111111,True,1590268630,4,6,1,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.0534236893526795,0.783436577557893,0.9760320957884672,4,2,1.3333333333333333,48106,0.000001510731848510,100.0,0.0,0.000001510731848510
2020-05-21,0x96a3f57c83e51c3c21252049946142d795fab60c,Mega Token,MX3,Wrapped Ether,WETH,0x291fa2725d153bcc6c7e1c304bcad47fdef1ef84,Mega Token,MX3,18,55,0x2108e4f2850c003d7b9e9a765a0a57176b8103af,8,10000.0,1.92e-13,0.5,6e-18,1590325449,2020-05-24 13:04,burn,1590325449,2020-05-24 13:04,0.024645005,6e-18,-1.0,83.00055556,True,1590325449,2,4,1,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.01722293574597511,0.21057520447206135,1.0,2,2,0.6666666666666666,298207,0,100.0,0.0,4.714045207910316744
2020-05-20,0xc195005b2d9f41fe2954d37e348d7c467b028ac3,Supercompute,SCOM,Wrapped Ether,WETH,0x73718b72d0292d4f1fa6b2e838c2b4013d16787c,Supercompute,SCOM,4,9,0x4050551ea762e2739e4736e665f9fd35bb9eabca,9,1000.0,4.1602,0.1,2.43e-07,1590878998,2020-05-30 22:49,burn,1590346359,2020-05-24 18:52,0.090420074,9.04e-11,-0.999999999,93.02472222,True,1590346359,1,2,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5063189817476691,0.0,1,1,0.5,88701,9.99999999E-7,100.0,0.0,9.99999999E-7
2020-05-23,0xa926adfe0dbf0583ef3010f6f8dbc68afa6e1c4a,Chimera,CMRA,Wrapped Ether,WETH,0x37737ad7e32ed440c312910cfc4a2e4d52867caf,Chimera,CMRA,3,481,0x4428e12154a97f19a318d7ebcfe526af5e6b72ee,449,10000.0,18.994,0.5,0.000745,1592921477,2020-06-23 14:11,burn,1590449128,2020-05-25 23:25,7.192796481,3.07e-10,-1.0,54.87944444,True,1590449128,7,131,2,0.05,0.9357142857142857,0.014285714285714285,0.024850263987010332,0.5773895932126842,0.3400002150607009,78,53,1.4444444444444444,185994,0.000023402722220342,100.0,0.0,0.000023402722220342
2020-05-26,0xb4f584ecbdce12cca1259e5faf4d9cfb9fc4045f,Streamity,STM,Wrapped Ether,WETH,0x0e22734e078d6e399bcee40a549db591c4ea46cb,Streamity,STM,18,73,0xb642fc2f8341344031028dd514b39a904f170147,73,500.0,0.083598112,0.1,1e-13,1626943159,2021-07-22 8:39,burn,1590531629,2020-05-26 22:20,0.12,0.0012,-0.99,2.644444444,True,1590531629,1,2,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.9917194979945659,0.0,2,0,2.0,7729,7.071067811865474244,100.0,0.0,7.071067811865474244
2020-05-23,0xa3966dd1daa3190a728bfe9d4f4058955013be13,Singular Japan,SNGJ,Wrapped Ether,WETH,0x249f71f8d9da86c60f485e021b509a206667a079,Singular Japan,SNGJ,18,8,0x3bb62bada8f9921dcf0b1be5d2c972d69c064d84,8,100000.0,409.0,39.0,1e-18,1631411403,2021-09-12 1:50,burn,1590540564,2020-05-27 0:49,5.003756952,3e-18,-1.0,81.83194444,True,1590540564,1,5,0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.8895955054651313,0.0,4,1,2.0,294046,1974.841765813149900743,100.0,0.0,1974.841765813149900743
2020-05-26,0x1ba9f5c192cde7d6c83eadb644b4106757145be3,Statera Classic,STAC,Wrapped Ether,WETH,0x992a780fdeda7a24c52526e027dfef90cddc685f,Statera Classic,STAC,18,405,0xa2612ffd29c3fa161712ef8069ef5dda344624cf,405,16250000.0,6.65e-13,30.0,2e-18,1590741495,2020-05-29 8:38,burn,1590741495,2020-05-29 8:38,33.94170941,2e-18,-1.0,67.72222222,True,1590741495,2,401,1,0.0049504950495049506,0.9925742574257426,0.0024752475247524753,0.11709784663156474,0.13738271229917645,0.5561884028621574,213,188,1.126984126984127,237024,22079.40216581961713591,100.0,0.0,22079.40216581961713591
2020-05-28,0x4de066026afae0d13fe2bd8a7fef4f7a48fb09b6,Fulcrum ETH iToken,iETH,Wrapped Ether,WETH,0x77f973fcaf871459aa58cd81881ce453759281bc,Fulcrum ETH iToken,iETH,18,8,0xadff3ada12ed0f8a87e31e5a04dfd2ee054e1118,8,7.485794577,2.41e-13,4.99052,1e-05,1605982420,2020-11-21 18:13,burn,1590760306,2020-05-29 13:51,4.99052,8.17e-16,-1.0,35.09305556,True,1590760306,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,6.112119726632244883,100.0,0.0,6.112119726632244883
