createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.decimals,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_our,is_rugpull,feature_timestamp
2021-07-14,0xc03ac1e9c6946fed9e36732cebbcd73b0c7a0637,Wrapped Ether,WETH,Trillion,TT,0xecacab6725ac1711d97e55df35d525b863b8b9f7,Trillion,TT,18,15222,0x3ffd766b2dbbdd4ff84d1415abe9c593e7a7b05c,15220,900000000000.0,327000000000.0,10.0,9.31,1635860355,2021-11-02 13:39,,0,1970-01-01 0:00,0.0,0.0,,0.0,False,1628829830
2021-08-12,0x8377cd015deda073d0b02d382883718a522b69b2,Gloomy Bear INU,GMBear,Wrapped Ether,WETH,0x811416fc4df361cb756cfa95f70569454c0f4545,Gloomy Bear INU,GMBear,18,17,0xd4076de8101fc2ccfd80eb091f5b5a36fd59ba76,17,700000000000.0,1.5e-10,17.8,1e-18,1628830005,2021-08-13 13:46,burn,1628830005,2021-08-13 13:46,23.62822958,1e-18,-1.0,16.00055556,True,1628830005
2021-08-12,0x56e2dcf3d49a3e13dfec9b10b03a2fd4453c52f5,Etherum Name Service,ENS,Wrapped Ether,WETH,0x9dfd5a894fe3cf4382dbb27a769c3361e0d7f186,Etherum Name Service,ENS,18,15,0xecf0695b50d319daf226ae530d6f1ded3862bbb3,15,700000000000.0,1.29e-10,30.0,1e-18,1628830005,2021-08-13 13:46,burn,1628830005,2021-08-13 13:46,35.62536242,1e-18,-1.0,5.189444444,True,1628830005
2021-08-12,0x98747b6513749811d03f701b6421a3acc7641505,Wrapped Ether,WETH,Samurai Inu,SAMINU,0xe8d87d4e50f8d76b55b944b820279475ef9f83f7,Samurai Inu,SAMINU,18,8,0x5cada6b9fad782c9202edb4f54184af3cd7a2488,8,10000000000.0,3.16e-11,10.0,1e-18,1628831280,2021-08-13 14:08,burn,1628831280,2021-08-13 14:08,10.00226974,1e-18,-1.0,12.16444444,True,1628831280
2020-08-12,0xe2fa67061b010d90e4f341b34bc1b1288e64c00d,Yineu v2,YIN2,Wrapped Ether,WETH,0x7f28a3eaeb728104986bf48fe2b1473cc4779cd5,Yineu v2,YIN2,3,316,0x91d4c88f574cb3e0a221ae648394254d48cea7a3,316,9.0,0.001,9.0,4.38e-08,1628837240,2021-08-13 6:47,burn,1628837240,2021-08-13 6:47,12.35165839,4.38e-08,-0.999999996,8772.242778,True,1628837240
2021-08-10,0x341e84cc3f2260ce834f7b439b7aa7e4d4dba544,Voyager,VGX,Wrapped Ether,WETH,0x694083efdbfca5e69ff5d5a5f569576fea9f0c22,Voyager,VGX,18,15,0xd29c001c5401b42503c819dbc207f3c9e0527001,15,21000.0,2.96e-14,21.0,3.4e-17,1628841050,2021-08-13 16:50,burn,1628841050,2021-08-13 16:50,22.44697073,3.4e-17,-1.0,59.43166667,True,1628841050
2021-08-13,0x112246b13ea36dea87cf6eaa9e6e1546bf1c5c0f,eAxie lnfinity,eAXS,Wrapped Ether,WETH,0x9e28619df77cac3361a727efd6aadb9d361259fd,eAxie lnfinity,eAXS,18,8,0x53ebb4384aa7b0879f89d553e7244cacb4eaac7a,8,45000000000.0,3.6e-11,33.0,1e-18,1628841490,2021-08-13 16:58,burn,1628841490,2021-08-13 16:58,33.866211,1e-18,-1.0,3.028055556,True,1628841490
2021-08-09,0xfb4d8cbffec374cc3e9b7a746d52e762a3c2e4de,World of Tanks | t.me/W0T_ENG,WoT,Wrapped Ether,WETH,0x3597f274bf8d740b2b0e4610f866b26a7e6b6661,World of Tanks | t.me/W0T_ENG,WoT,18,33,0xb93a786428270c8df6c0e9ce6cc2efe9222b7044,33,250000000.0,2.81e-12,12.0,1e-18,1628847194,2021-08-13 18:33,burn,1628847194,2021-08-13 18:33,19.52540876,1e-18,-1.0,85.93194444,True,1628847194
2020-06-27,0xc84dd9286d05695754b020176cf267e07af9c8e0,Wrapped Ether,WETH,aomucoin,aomu,0xc2dd62b809de9409fda30d5c222b1f30a850ed84,aomucoin,aomu,18,29,0x366ba3e5c2ff198b307d86302c04bcf4cee49835,29,200000.0,3.13e-12,0.08,1e-18,1628848707,2021-08-13 9:58,burn,1628848707,2021-08-13 9:58,0.040741042,1e-18,-1.0,9881.621944,True,1628848707
2021-07-14,0xe93558366f9e69ca5a33ea4f250e8549686d0249,Shibank | t.me/Shibanktoken,Shibank,Wrapped Ether,WETH,0x8a317eb881d98b0b3576c74b1976bde06a8ee4ee,Shibank | t.me/Shibanktoken,Shibank,9,1156,0x00ecb44b069b1bb7b0a7ce8a8eac65cc6c91f413,1156,6.38e+17,5.99e+17,8.0,9.62,1635037917,2021-10-24 1:11,,0,1970-01-01 0:00,0.0,0.0,,0.0,False,1628849092
