createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.decimals,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_our,is_rugpull,feature_timestamp,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,active_period,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,total_LP_amount,initial_supply,receiver
2020-10-23,0x55e8f013e97f21c84b290e7fd093f610240e74b9,Wrapped Ether,WETH,COM,COM,0xcae838187c1f813fc3bfae6387bf34aeacb5bef6,COM,COM,18,37,0xe255d68563c974ac061484cece4e57de02a4e0da,37,10000,22851.57098,0.23,0.102,1635249073,2021-10-26 11:51,,0,1970-01-01 0:00,0,0,,0,FALSE,1604079223,1,8,0,0.111111111,0.888888889,0,0,0.125700671,0,7,1,3.5,173762,47.95831523,0xe255d68563c974ac061484cece4e57de02a4e0da,100,0,47.95831523,1.00E-08,0xe255d68563c974ac061484cece4e57de02a4e0da
2021-10-28,0x117cc9c215505f8c1fe18822d4227f86f861fdbf,Shoko Inu,SHOKO INU,Wrapped Ether,WETH,0x91276bb077e18d93b93a471160a65c7bc5d8ad72,Shoko Inu,SHOKO INU,9,88,0x9dd92cd0d8a9aaeeddae0c97530e961678ebb006,88,9.58E+17,4.57E+17,3.33,1.00E-18,1635432975,2021-10-28 23:56,burn,1635432975,2021-10-28 23:56,7.353221597,1.00E-18,-1,3.224444444,TRUE,1635432975,1,87,0,0.011363636,0.988636364,0,0,0.148505831,0,59,28,2.034482759,5488,56491.14975,0x9dd92cd0d8a9aaeeddae0c97530e961678ebb006,100,0,56491.14975,1.00E+18,0x9dd92cd0d8a9aaeeddae0c97530e961678ebb006
2021-10-28,0x209582ff421988d1f74b66742fa94fc533e3b18c,Sapporo Shiba,SAPSHIB,Wrapped Ether,WETH,0xbbac15e551f4d086453f0304aecf4fadf03f9885,Sapporo Shiba,SAPSHIB,9,27,0xc55efc1f7a66d1af37d4fb62a354aafd22f682d7,27,4.90E+14,3.15E+14,4.6,6.16E-07,1635504901,2021-10-29 19:55,swap,1635504901,2021-10-29 19:55,7.939840616,6.16E-07,-0.999999922,23.25722222,TRUE,1635504901,1,31,0,0.03125,0.96875,0,0,0.164714428,0,26,5,4.333333333,33039,1501.521862,0xc55efc1f7a66d1af37d4fb62a354aafd22f682d7,100,0,1501.521862,1.00E+15,0xc55efc1f7a66d1af37d4fb62a354aafd22f682d7
2021-10-28,0x2385ba58d184eaed27a46b758bfa86fdf3dfd96e,Wrapped Ether,WETH,Kanye Inu,KANYEINU,0xdaa1e2fd1737026a451a330d8caee031f0d2a1c8,Kanye Inu,KANYEINU,9,85,0x5f4babd87887bed2f1c14b0c6442ed2fd9c2431d,85,9.48E+17,5.71E+17,2.75,1.00E-18,1635432842,2021-10-28 23:54,burn,1635432842,2021-10-28 23:54,4.445175119,1.00E-18,-1,4.668888889,TRUE,1635432842,1,86,0,0.011494253,0.988505747,0,0,0.101054011,0,56,30,1.806451613,16793,51071.00374,0x5f4babd87887bed2f1c14b0c6442ed2fd9c2431d,100,0,51071.00374,1.00E+18,0x5f4babd87887bed2f1c14b0c6442ed2fd9c2431d
2020-09-27,0xa0e97bd80bbb011dd244a1017ccae117d412beca,yfdot.finance,YFDOT,Wrapped Ether,WETH,0x2e6539edc3b76f1e21b71d214527faba875f70f3,yfdot.finance,YFDOT,18,12174,0x0dd8f9542206654865dc8bd3af1dfb4906bb62b1,11719,0.02,29.5790366,0.1,0.103,1633904116,2021-10-10 22:15,,0,1970-01-01 0:00,0,0,,0,FALSE,1601811396,6,45,2,0.113207547,0.849056604,0.037735849,0.274581654,0.498696551,0.482823323,23,22,1,599563,0.04472136,0x4bac95875448244354236c9722f50bed7b4d95e3,33.33333333,8.592029267,0.100621734,25000,0x0dd8f9542206654865dc8bd3af1dfb4906bb62b1
2021-10-28,0x2f59dfcfa75f0234bfbf8c0cc570500dd3078ffd,nano SAITAMA,nanoSAITAMA,Wrapped Ether,WETH,0xa2e3132cf93e2197c10cdf2db4ee5a0653f292c0,nano SAITAMA,nanoSAITAMA,9,73,0x705cea9a12454dbbf61807081727e754900bddbb,73,9.08E+11,6.87E+11,1.25,5.00E-17,1635516602,2021-10-29 23:10,burn,1635516602,2021-10-29 23:10,1.677455334,5.00E-17,-1,27.09888889,TRUE,1635516602,1,75,0,0.013157895,0.986842105,0,0,0.075107988,0,37,38,0.948717949,15511,33.69278976,0x705cea9a12454dbbf61807081727e754900bddbb,100,0,33.69278976,1.00E+12,0x705cea9a12454dbbf61807081727e754900bddbb
2020-07-27,0xc1f402b95196807c8f951cbe1c03c944571a1dc2,Wax Token,WAX,Wrapped Ether,WETH,0x39bb259f66e1c59d5abef88375979b4d20d98022,Wax Token,WAX,8,1724,0xf4021842abd3bbb4b467427c7a1f7dab782032c6,1724,82,3620.993425,0.2,0.103,1635843613,2021-11-02 9:00,,0,1970-01-01 0:00,0,0,,0,FALSE,1596484495,1,5,0,0.166666667,0.833333333,0,0,0.673494495,0,4,1,2,16257,4.05E-05,0xd965952823153e5cbc611be87e8322cfc329f056,100,0,4.05E-05,1850000000,0xf4021842abd3bbb4b467427c7a1f7dab782032c6
2021-10-28,0x46a9aa15cb99755fae5caa55890f509cfa33fd8a,Wrapped Ether,WETH,ButtCoin,BUTT,0xc9d29e447021eedfd565e1ac38d61d1a02d5fc27,ButtCoin,BUTT,9,9,0x97199e1c570ac2bda27b7aeff42675383d1e5aa7,9,9.18E+11,2.26E-05,1.3,4.60E-17,1635414315,2021-10-28 18:45,burn,1635414315,2021-10-28 18:45,1.567317184,4.60E-17,-1,8.400277778,TRUE,1635414315,1,7,0,0.125,0.875,0,0,0.287891337,0,4,3,1,30185,34.55253321,0x97199e1c570ac2bda27b7aeff42675383d1e5aa7,100,0,34.55253321,1.00E+12,0x97199e1c570ac2bda27b7aeff42675383d1e5aa7
2021-09-10,0x53a85d789892f6edb4bd28307043209a3d9a7a10,Doge Gold,DGLD,Wrapped Ether,WETH,0x6a55b1105497ce7939349f83cfe8b966845b1eb8,Doge Gold,DGLD,18,238,0xf459b83f676467e55ed557a45b1e64569450f051,238,50,866.0842244,0.05,0.106,1635211680,2021-10-26 1:28,,0,1970-01-01 0:00,0,0,,0,FALSE,1631895729,10,218,1,0.043668122,0.951965066,0.004366812,0.091034554,0.389733299,0.608447407,113,105,1.066037736,544167,0,0x20c27c130155685070a7bf3cfe7084e70e06bf64,33.33333333,12.0497786,15.65309841,4328950,0xf459b83f676467e55ed557a45b1e64569450f051
2021-10-28,0x5403d5f440ca43e25e3faa9d22ff5769674ce6b6,Dinger Inu,Dinger Inu,Wrapped Ether,WETH,0x04a9699139017336ff9df15f2896b9f89a2af9da,Dinger Inu,Dinger Inu,9,31,0x1bba540122d143a5795bda2946025f90420616b5,31,1.00E+15,0.000227042,5,5.00E-18,1635420354,2021-10-28 20:25,burn,1635420354,2021-10-28 20:25,9.868443903,5.00E-18,-1,7.928611111,TRUE,1635420354,1,29,0,0.033333333,0.966666667,0,0,0.111855643,0,29,0,29,18953,2236.067977,0x1bba540122d143a5795bda2946025f90420616b5,100,0,2236.067977,1.00E+15,0x1bba540122d143a5795bda2946025f90420616b5
