createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.decimals,token00.txCount,token00_creator_address,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,mint_ratio,swap_ratio,burn_ratio,swap_rate,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,initial_supply,receiver,current_token_total_supply,burn_amount,timestamp_creator_LP_amount,timestamp_creator_token_amount
11028543,2020-10-10,0x8cf8c930546fce6615ad5c2d155e0721d53eee1b,0.005109933,0.7078283409999999,0.005109933,0xd9ce656033d21f860630a814a1e6f8cfeda127d4,orbIT,orbI,0.7078283409999999,18,29,0x93c4e8acba20a86d4521369a721716139f910644,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,20.0,20.0,1606487130,2020-11-27 14:25,1,27,1,0,181285,24439,15,12,4142618,burn,1602368951,2020-10-10 22:29,21.78449461,0.065353484,-0.997,6.788611111111111h,True,1602368951,0.038461538,0.961538462,0.0,1.363636364,20.0,0x93c4e8acba20a86d4521369a721716139f910644,100.0,0.0,50.0,0x93c4e8acba20a86d4521369a721716139f910644,50.0,0.0,19.94,30.0
12750395,2021-07-02,0x4d43ba83283759c136e1ba79ee9e3bb3851711ab,159000000000000.0,0.187678552,0.187678552,0xbdb8bb363b26e156b7dfc5821e3c9bae1ab0a19f,AquaFinance.Investments,AQUA,159000000000000.0,18,140,0x93c3da2e12f525efe1d5a7b3e47c4520ba521d7c,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,3.0,9700000000000.0,1625342113,2021-07-03 19:55,1,139,0,0,5031,0,116,23,84030,swap,1625270449,2021-07-03 0:00,16.43346654,0.005931928,-0.999639034,3.435h,True,1625270449,0.007575758,0.992424242,0.0,4.739130435,5394441.584,0x93c3da2e12f525efe1d5a7b3e47c4520ba521d7c,100.0,0.0,10000000000000.0,0x93c3da2e12f525efe1d5a7b3e47c4520ba521d7c,,0,0.0,10000300000000000
13516121,2021-10-30,0x0d13ee4649511685bc99fa31b2ede179917eb589,427000000000000.0,2.963945493,5.927890986,0x0a2f51e0f76a8ed75567ef18a573092a16676976,YAMA NEKO,YAMA,427000000000000.0,9,96,0x93c23e039bfd7507de1346a04ce0af0946a6c0e4,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545604.3712,60733839,1.0,949000000000000.0,1636481325,2021-11-09 18:08,2,94,0,86672,194173,0,62,32,916976,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1636481325,0.021052632,0.978947368,0.0,1.9375,974.3519396,0x93c23e039bfd7507de1346a04ce0af0946a6c0e4,50.0,39.52523873,1000000000000000.0,0x93c23e039bfd7507de1346a04ce0af0946a6c0e4,,127667944599691.890625,0.0,59999999999999.90625
12152508,2021-04-01,0x74101f2fedcc1171fb85c2da024e36bef29369dc,1.1e-17,9.46e-14,2.2e-17,0xc55b6b970adf8f15dbdd54e9756eafdf1656d685,Tribe,TRIBE,9.46e-14,18,13,0x93c0dbf33434deeddd4250f13b61c37a9d90ab18,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,300.0,3500000.0,1617332848,2021-04-02 3:07,1,11,1,0,2596,67383,11,0,67383,burn,1617332848,2021-04-02 3:07,342.7926409,1.1e-17,-1.0,18.7175h,True,1617332848,0.083333333,0.916666667,0.0,11.0,32403.70349,0x93c0dbf33434deeddd4250f13b61c37a9d90ab18,100.0,0.0,1000000000.0,0x93c0dbf33434deeddd4250f13b61c37a9d90ab18,1000000000.0,0.0,32403.70349,996500000.0
12372442,2021-05-05,0x208a5b525e5cd7d4948ad66604d9187572c495fb,5.550000000000001e-09,1e-18,2e-18,0x2b436125c0d7a8b8a1e9fb7daf70e47add285797,DefiDOGE,DEFIDOGE,5.550000000000001e-09,18,6,0x93c0c8e9dc7b02a072482f8c26f8631010d3f78a,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,30.0,950000000000000.0,1620204200,2021-05-05 17:43,1,4,1,0,1078,10374,4,0,10374,burn,1620204200,2021-05-05 17:43,30.445,1e-18,-1.0,2.881666666666667h,True,1620204200,0.2,0.8,0.0,4.0,168819430.2,0x93c0c8e9dc7b02a072482f8c26f8631010d3f78a,100.0,0.0,1000000000000000.0,0x93c0c8e9dc7b02a072482f8c26f8631010d3f78a,1000000000000000.0,0.0,168819430.2,50000000000000.0
12742611,2021-07-01,0x601d7b13fc7719edc2dcd324f7f9143da7918190,171643760.2,1.887826557,3.775653114,0x3a1aeea7c88048bdf6501773be89dead21b2060f,Doge Bread,DOGEBREAD,171643760.2,9,88,0x93bfa17ac705fa7953a15603a948d81bfe69bf9f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,2.0,160000000.0,1625508045,2021-07-05 18:00,1,87,0,0,25488,0,31,56,354519,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1625508045,0.011627907,0.988372093,0.0,0.563636364,0.565685425,0x93bfa17ac705fa7953a15603a948d81bfe69bf9f,100.0,0.0,1000000000.0,0x93bfa17ac705fa7953a15603a948d81bfe69bf9f,,800000000,0.0,12698889
11143924,2020-10-28,0x66ba7a1252178d0e538b3638b4333ec44bd5300a,500018637.5,0.004844734,0.009689468,0x6b1dfae6f72d0d9c6e5150cc450caffc659654b1,NIX.FINANCE,NIX,500018637.5,18,171,0x93b3ff9fd671000f1e944922e825093f20cb67a1,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,30.0,80000.0,1603892875,2020-10-28 13:47,2,168,1,543,8852,18590,121,47,20766,swap,1603892875,2020-10-28 13:47,129.5877386,0.004844734,-0.999962614,5.7683333333333335h,True,1603892875,0.011764706000000002,0.982352941,0.005882353000000001,2.574468085,1549.193338,0x93b3ff9fd671000f1e944922e825093f20cb67a1,100.0,0.0,80000.0,0x93b3ff9fd671000f1e944922e825093f20cb67a1,80000.0,0.0,0.0,500000000.0
12915624,2021-07-28,0xe65c288f012e96d29163bf8036afcb91342350fe,1.16e-10,1e-18,2e-18,0x54066e25a96aad9d9b1544de8482a27ef481766b,EverBaby | t.me/EverBabyOfficial,EverBaby,1.16e-10,18,25,0x93b23bc8dcaedf803f86d38c709fefa2f5c3fa84,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,40.0,780000000000.0,1627529468,2021-07-29 3:31,1,23,1,0,2280,37293,21,2,37293,burn,1627529468,2021-07-29 3:31,48.13751097,1e-18,-1.0,10.359166666666667h,True,1627529468,0.041666667,0.958333333,0.0,7.0,5585696.017999998,0x93b23bc8dcaedf803f86d38c709fefa2f5c3fa84,100.0,0.0,1000000000000.0,0x93b23bc8dcaedf803f86d38c709fefa2f5c3fa84,1000000000000.0,0.0,5585696.017999998,104831000000.0
12730785,2021-06-29,0xd29f446ed8c1fcdaca4b0326f5f94cb9c1f52697,1e-18,4.3e-09,2e-18,0xf4f26b63ae26e49ac089a8acc1351ce3b103dfa3,RexShu Inu,RexShu,4.3e-09,18,29,0x93b143471945979e6260bb171df633b122b9575d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,5.0,424000000000000.0,1625001323,2021-06-29 21:15,1,27,1,0,1806,6797,23,4,6797,burn,1625001323,2021-06-29 21:15,10.79042466,1e-18,-1.0,1.8880555555555556h,True,1625001323,0.035714286,0.964285714,0.0,4.6,46056618.65,0x93b143471945979e6260bb171df633b122b9575d,100.0,0.0,1000000000000000.0,0x93b143471945979e6260bb171df633b122b9575d,1000000000000000.0,0.0,46056618.65,157889000000000.0
12616180,2021-06-11,0x8b2a630467e91b749e532cb4a0092d6b19e2f801,9.98e-05,1.1e-17,2.2e-17,0x0dcfc2803b37a989c1ac6322a3dca3ceb2d6328c,Laika Inu Swap,Laika,9.98e-05,9,11,0x93b0e0c5fd9938dc73073d9379750f7148dd8a5f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.5989999999,60733891,2.1,44000000000000.0,1623469180,2021-06-12 12:39,1,9,1,0,445,15253,9,0,15253,burn,1623469180,2021-06-12 12:39,3.047869984,1.1e-17,-1.0,4.236944444444444h,True,1623469180,0.1,0.9,0.0,9.0,303.9736831,0x93b0e0c5fd9938dc73073d9379750f7148dd8a5f,100.0,0.0,100000000000000.0,0x93b0e0c5fd9938dc73073d9379750f7148dd8a5f,1000000000000.0,0.0,303.9736831,-0.00838861
