createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.decimals,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_our,is_rugpull,feature_timestamp,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,active_period,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,total_LP_amount,initial_supply,receiver_list
2021-07-24,0x72245c13ae3f362bffaa883d430e22b8a53988ac,NecromancerInu - https://t.me/necromancerinu,$NECRO,Wrapped Ether,WETH,0x7f388eadcbd1063acda82492ec6ad06c35759898,NecromancerInu - https://t.me/necromancerinu,$NECRO,18,7,0xe8e6eee30d513003f632f8a227fbb7370f644b04,7,1000000000.0,1.3e-11,5.5,1e-18,1627138099,2021-07-24 23:48,burn,1627138099,2021-07-24 23:48,5.686035072,1e-18,-1.0,1.135555556,True,1627138099,1,5,0,0.1666666666666666,0.8333333333333334,0.0,0.0,0.4561855670103092,0.0,5,0,5.0,776,74161.98487095664,0xe8e6eee30d513003f632f8a227fbb7370f644b04,100.0,0.0,74161.98487095664,1000000000.0,[{'address': '0xe8e6eee30d513003f632f8a227fbb7370f644b04'}]
2021-07-24,0x8ea9b429b4f382d0f320255aeea941a034214d81,MultiMillion,3M,Wrapped Ether,WETH,0x2e0f82a4edc8659b3ddf438cee95286e4075da56,MultiMillion,3M,18,75,0x72507506d80889cb4ec3e86430e5c9cf3f08599e,75,250000000.0,500000000000.0,7.0,0.00353,1627217274,2021-07-25 21:47,swap,1627138381,2021-07-24 23:53,12.82250677,0.003528493,-0.99972482,2.654444444,True,1627138381,1,72,0,0.0136986301369863,0.9863013698630136,0.0,0.0,0.3513701005896635,0.0,58,14,3.866666666666666,8649,41833.00132670378,0x72507506d80889cb4ec3e86430e5c9cf3f08599e,100.0,0.0,41833.00132670378,500000000.0,[{'address': '0x72507506d80889cb4ec3e86430e5c9cf3f08599e'}]
2021-07-24,0x93164b67be0d29de51386592107b2fbcfedfc115,Wrapped Ether,WETH,Necromancer Inu | www.necromancerinu.com,NECRO,0xc1f68e624d1735994503e3e300b090ff6652b597,Necromancer Inu | www.necromancerinu.com,NECRO,18,14,0xd2a770f84e30a4a5d6fe9b0bf58301048fdb28fb,14,1000000000.0,1.22e-11,5.0,1e-18,1627140029,2021-07-25 0:20,burn,1627140029,2021-07-25 0:20,5.815062964,1e-18,-1.0,3.788888889,True,1627140029,1,12,0,0.0769230769230769,0.9230769230769232,0.0,0.0,0.2822093938598793,0.0,12,0,12.0,7622,70710.67811865475,0xd2a770f84e30a4a5d6fe9b0bf58301048fdb28fb,100.0,0.0,70710.67811865475,1000000000.0,[{'address': '0xd2a770f84e30a4a5d6fe9b0bf58301048fdb28fb'}]
2021-07-20,0xcf33e32f0bad9da90d2f8240b7c269a9371f95b5,MakinShiba | T.me/MakinShiba,MakinShiba,Wrapped Ether,WETH,0x794d1342dade3eee94ec0fbca83537d96ab4ed5c,MakinShiba | T.me/MakinShiba,MakinShiba,9,118,0x5c35b3dae45a29aed700f9359fd29df712bc2ad2,118,1000000000000.0,1.7899999999999998e-05,3.0,5.9e-17,1627145810,2021-07-25 1:56,burn,1627145810,2021-07-25 1:56,3.200052447,5.9e-17,-1.0,93.13916667,True,1627145810,1,116,0,0.0085470085470085,0.9914529914529916,0.0,0.0,0.0405843996666176,0.0,44,72,0.6027397260273972,203970,54.77225575051661,0x5c35b3dae45a29aed700f9359fd29df712bc2ad2,100.0,0.0,54.77225575051661,1000000000000.0,[{'address': '0x5c35b3dae45a29aed700f9359fd29df712bc2ad2'}]
2021-07-24,0xf9f104b3af54612dd6a90c608588da6aeafed040,Wrapped Ether,WETH,MINI PEG INU,MINI PEG,0xf092e915fa8a85d116f857129588b2551181838d,MINI PEG INU,MINI PEG,18,24,0x9544e9deaacc5fedbad019f83bea6a69178e16fe,24,7000000000000.0,4.06e-10,25.0,1e-18,1627147016,2021-07-25 2:16,burn,1627147016,2021-07-25 2:16,32.63336541,1e-18,-1.0,2.857777778,True,1627147016,1,22,0,0.0434782608695652,0.9565217391304348,0.0,0.0,0.4196058091286307,0.0,19,3,4.75,1928,13228756.555322953,0x9544e9deaacc5fedbad019f83bea6a69178e16fe,100.0,0.0,13228756.555322953,10000000000000.0,[{'address': '0x9544e9deaacc5fedbad019f83bea6a69178e16fe'}]
2021-06-24,0xf64af01a14c31164ff7381cf966df6f2b4cb349f,Wrapped Ether,WETH,Dopex Governance Token,DPX,0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81,Dopex Governance Token,DPX,18,14539,0xde485812e28824e542b9c2270b6b8ed9232b7d0b,14539,13.0,970.4478373,1.0,396.0,1635860945,2021-11-02 13:49,,0,1970-01-01 0:00,0.0,0.0,,0.0,False,1625161559,259,803,48,0.2333333333333333,0.7234234234234235,0.0432432432432432,0.2528182194616977,0.3828389233954451,0.4066583850931677,425,378,1.121372031662269,603750,67.4239139704489,0xde485812e28824e542b9c2270b6b8ed9232b7d0b,0.6666666666666666,1.8346418761927945,3727.393831159153,500000.0,[{'address': '0xde485812e28824e542b9c2270b6b8ed9232b7d0b'}]
2021-06-24,0x0bf46ba06dc1d33c3bd80ff42497ebff13a88900,Dopex Rebate Token,rDPX,Wrapped Ether,WETH,0x0ff5a8451a839f5f0bb3562689d9a44089738d11,Dopex Rebate Token,rDPX,18,7514,0xde485812e28824e542b9c2270b6b8ed9232b7d0b,7514,200.0,5392.302600999999,0.1,33.5,1635811359,2021-11-02 0:02,,0,1970-01-01 0:00,0.0,0.0,,0.0,False,1625162080,467,823,56,0.3469539375928677,0.6114413075780091,0.0416047548291233,0.3649062671633988,0.4326896989829342,0.4959899683035448,346,477,0.7238493723849372,604484,279.5385032475676,0xde485812e28824e542b9c2270b6b8ed9232b7d0b,0.4219409282700422,1.0359990510882933,3218.530727683123,2250000.0,[{'address': '0xde485812e28824e542b9c2270b6b8ed9232b7d0b'}]
2021-07-24,0xae7974f6468a9313edd051286ea6c8341dd37495,Skill Token,SKILL,Wrapped Ether,WETH,0x0d0a05b22061a8ade2451ee622cf915faf1eac2e,Skill Token,SKILL,18,105,0xbb400ebb9326df1a2eea4d31757514499b105eaf,105,300000000.0,308000000000.0,8.0,0.00787,1627725848,2021-07-31 19:04,swap,1627151271,2021-07-25 3:27,10.29714097,0.004846303,-0.999529355,2.077777778,True,1627151271,1,95,0,0.0104166666666666,0.9895833333333334,0.0,0.0,0.3301857585139319,0.0,70,25,2.6923076923076925,6460,48989.79485566357,0xbb400ebb9326df1a2eea4d31757514499b105eaf,100.0,0.0,48989.79485566357,500000000.0,[{'address': '0xbb400ebb9326df1a2eea4d31757514499b105eaf'}]
2021-07-24,0xd6fb15a7943d0ddebcba1cba912fb8b23afa579d,ArGO  INU,ArGO,Wrapped Ether,WETH,0x70cb2b8f546299bc26078473fd61ce80fc0f98e5,ArGO  INU,ArGO,18,24,0xebb5ccc11493f94870124e173f44dd8e560230b1,24,700000000000.0,1.4500000000000002e-10,20.0,1e-18,1627152192,2021-07-25 3:43,burn,1627152192,2021-07-25 3:43,25.8561034,1e-18,-1.0,1.122222222,True,1627152192,1,22,0,0.0434782608695652,0.9565217391304348,0.0,0.0,0.3952412425644415,0.0,19,3,4.75,1513,3741657.3867739406,0xebb5ccc11493f94870124e173f44dd8e560230b1,100.0,0.0,3741657.3867739406,1000000000000.0,[{'address': '0xebb5ccc11493f94870124e173f44dd8e560230b1'}]
2021-07-17,0x943e918d65725b3fcdb8e1d97adfc408524ac22e,Old Memes,OLDMEMES,Wrapped Ether,WETH,0x84c7e970c7a08352334e50631c08fc4631290343,Old Memes,OLDMEMES,9,290,0xf5e43529ea5f4fd7b1ad819dacf8632a4c262de4,290,970000000000.0,1.94e-05,2.0,5.4e-17,1627167612,2021-07-25 8:00,burn,1627167612,2021-07-25 8:00,2.365495015,5.4e-17,-1.0,174.245,True,1627167612,1,288,0,0.0034602076124567,0.9965397923875432,0.0,0.0,0.0345540389733024,0.0,126,162,0.7730061349693251,291225,44.04543109109048,0xf5e43529ea5f4fd7b1ad819dacf8632a4c262de4,100.0,0.0,44.04543109109048,1000000000000.0,[{'address': '0xf5e43529ea5f4fd7b1ad819dacf8632a4c262de4'}]
